year,month,abs_peak_temp_c,month_name
2014,1,32.88,Jan
2014,2,34.25,Feb
2014,3,35.3,Mar
2014,4,34.83,Apr
2014,5,35.28,May
2014,6,35.11,Jun
2014,7,34.45,Jul
2014,8,34.08,Aug
2014,9,34.52,Sep
2014,10,33.84,Oct
2014,11,33.76,Nov
2014,12,33.54,Dec
2015,1,33.37,Jan
2015,2,34.33,Feb
2015,3,34.97,Mar
2015,4,34.72,Apr
2015,5,34.88,May
2015,6,34.59,Jun
2015,7,34.89,Jul
2015,8,34.65,Aug
2015,9,34.37,Sep
2015,10,34.17,Oct
2015,11,33.82,Nov
2015,12,34.21,Dec
2016,1,34.52,Jan
2016,2,34.62,Feb
2016,3,35.72,Mar
2016,4,36.45,Apr
2016,5,35.81,May
2016,6,34.85,Jun
2016,7,35.13,Jul
2016,8,34.75,Aug
2016,9,34.59,Sep
2016,10,34.34,Oct
2016,11,33.42,Nov
2016,12,34.14,Dec
2017,1,33.38,Jan
2017,2,38.8,Feb
2017,3,38.4,Mar
2017,4,38.0,Apr
2017,5,39.2,May
2017,6,34.2,Jun
2017,7,33.68,Jul
2017,8,38.8,Aug
2017,9,33.75,Sep
2017,10,33.89,Oct
2017,11,36.1,Nov
2017,12,39.7,Dec
2018,1,32.88,Jan
2018,2,32.97,Feb
2018,3,33.66,Mar
2018,4,34.9,Apr
2018,5,34.46,May
2018,6,34.86,Jun
2018,7,34.46,Jul
2018,8,35.05,Aug
2018,9,34.45,Sep
2018,10,34.32,Oct
2018,11,34.3,Nov
2018,12,33.75,Dec
2019,1,34.1,Jan
2019,2,34.89,Feb
2019,3,36.25,Mar
2019,4,36.17,Apr
2019,5,36.42,May
2019,6,35.66,Jun
2019,7,36.24,Jul
2019,8,35.83,Aug
2019,9,36.12,Sep
2019,10,35.5,Oct
2019,11,35.65,Nov
2019,12,34.85,Dec
2020,1,35.23,Jan
2020,2,36.19,Feb
2020,3,36.79,Mar
2020,4,36.49,Apr
2020,5,36.73,May
2020,6,36.09,Jun
2020,7,35.11,Jul
2020,8,35.44,Aug
2020,9,35.03,Sep
2020,10,35.16,Oct
2020,11,34.78,Nov
2020,12,34.72,Dec
2021,1,33.16,Jan
2021,2,35.31,Feb
2021,3,36.09,Mar
2021,4,35.98,Apr
2021,5,36.24,May
2021,6,35.55,Jun
2021,7,35.65,Jul
2021,8,35.72,Aug
2021,9,35.42,Sep
2021,10,36.02,Oct
2021,11,35.49,Nov
2021,12,35.29,Dec
2022,1,35.26,Jan
2022,2,35.77,Feb
2022,3,36.65,Mar
2022,4,36.44,Apr
2022,5,36.61,May
2022,6,35.95,Jun
2022,7,35.8,Jul
2022,8,35.72,Aug
2022,9,35.26,Sep
2022,10,35.36,Oct
2022,11,35.12,Nov
2022,12,34.96,Dec
2023,1,34.76,Jan
2023,2,35.19,Feb
2023,3,36.66,Mar
2023,4,37.36,Apr
2023,5,37.74,May
2023,6,37.04,Jun
2023,7,36.91,Jul
2023,8,36.99,Aug
2023,9,36.98,Sep
2023,10,37.34,Oct
2023,11,36.9,Nov
2023,12,36.18,Dec
2024,1,35.33,Jan
2024,2,37.14,Feb
2024,3,38.26,Mar
2024,4,38.54,Apr
2024,5,37.72,May
2024,6,36.83,Jun
2024,7,36.53,Jul
2024,8,36.36,Aug
2024,9,35.6,Sep
2024,10,35.55,Oct
2024,11,35.43,Nov
2024,12,35.53,Dec
