date,pollutant,concentration,year,month,month_name,risk,month_year
2018-01-01,PM 2.5,11.43,2018,1,Jan,Good (≤15),2018-01
2018-02-01,PM 2.5,16.75,2018,2,Feb,Moderate (15–35),2018-02
2018-03-01,PM 2.5,15.61,2018,3,Mar,Moderate (15–35),2018-03
2018-04-01,PM 2.5,16.34,2018,4,Apr,Moderate (15–35),2018-04
2018-05-01,PM 2.5,14.54,2018,5,May,Good (≤15),2018-05
2018-06-01,PM 2.5,17.28,2018,6,Jun,Moderate (15–35),2018-06
2018-07-01,PM 2.5,20.63,2018,7,Jul,Moderate (15–35),2018-07
2018-08-01,PM 2.5,25.84,2018,8,Aug,Moderate (15–35),2018-08
2018-09-01,PM 2.5,18.21,2018,9,Sep,Moderate (15–35),2018-09
2018-10-01,PM 2.5,14.5,2018,10,Oct,Good (≤15),2018-10
2018-11-01,PM 2.5,12.33,2018,11,Nov,Good (≤15),2018-11
2018-12-01,PM 2.5,11.54,2018,12,Dec,Good (≤15),2018-12
2019-01-01,PM 2.5,12.96,2019,1,Jan,Good (≤15),2019-01
2019-02-01,PM 2.5,15.23,2019,2,Feb,Moderate (15–35),2019-02
2019-03-01,PM 2.5,23.17,2019,3,Mar,Moderate (15–35),2019-03
2019-04-01,PM 2.5,18.69,2019,4,Apr,Moderate (15–35),2019-04
2019-05-01,PM 2.5,15.52,2019,5,May,Moderate (15–35),2019-05
2019-06-01,PM 2.5,14.57,2019,6,Jun,Good (≤15),2019-06
2019-07-01,PM 2.5,20.79,2019,7,Jul,Moderate (15–35),2019-07
2019-08-01,PM 2.5,31.74,2019,8,Aug,Moderate (15–35),2019-08
2019-09-01,PM 2.5,52.86,2019,9,Sep,Unhealthy (>35),2019-09
2019-10-01,PM 2.5,15.46,2019,10,Oct,Moderate (15–35),2019-10
2019-11-01,PM 2.5,13.92,2019,11,Nov,Good (≤15),2019-11
2019-12-01,PM 2.5,10.95,2019,12,Dec,Good (≤15),2019-12
2020-01-01,PM 2.5,12.62,2020,1,Jan,Good (≤15),2020-01
2020-02-01,PM 2.5,12.93,2020,2,Feb,Good (≤15),2020-02
2020-03-01,PM 2.5,15.01,2020,3,Mar,Moderate (15–35),2020-03
2020-04-01,PM 2.5,11.81,2020,4,Apr,Good (≤15),2020-04
2020-05-01,PM 2.5,11.14,2020,5,May,Good (≤15),2020-05
2020-06-01,PM 2.5,12.21,2020,6,Jun,Good (≤15),2020-06
2020-07-01,PM 2.5,11.74,2020,7,Jul,Good (≤15),2020-07
2020-08-01,PM 2.5,15.15,2020,8,Aug,Moderate (15–35),2020-08
2020-09-01,PM 2.5,11.52,2020,9,Sep,Good (≤15),2020-09
2020-10-01,PM 2.5,12.36,2020,10,Oct,Good (≤15),2020-10
2020-11-01,PM 2.5,10.1,2020,11,Nov,Good (≤15),2020-11
2020-12-01,PM 2.5,10.92,2020,12,Dec,Good (≤15),2020-12
2021-01-01,PM 2.5,11.36,2021,1,Jan,Good (≤15),2021-01
2021-02-01,PM 2.5,15.94,2021,2,Feb,Moderate (15–35),2021-02
2021-03-01,PM 2.5,14.3,2021,3,Mar,Good (≤15),2021-03
2021-04-01,PM 2.5,14.07,2021,4,Apr,Good (≤15),2021-04
2021-05-01,PM 2.5,12.62,2021,5,May,Good (≤15),2021-05
2021-06-01,PM 2.5,13.3,2021,6,Jun,Good (≤15),2021-06
2021-07-01,PM 2.5,15.27,2021,7,Jul,Moderate (15–35),2021-07
2021-08-01,PM 2.5,11.76,2021,8,Aug,Good (≤15),2021-08
2021-09-01,PM 2.5,12.06,2021,9,Sep,Good (≤15),2021-09
2021-10-01,PM 2.5,13.14,2021,10,Oct,Good (≤15),2021-10
2021-11-01,PM 2.5,10.02,2021,11,Nov,Good (≤15),2021-11
2021-12-01,PM 2.5,11.43,2021,12,Dec,Good (≤15),2021-12
2022-01-01,PM 2.5,13.6,2022,1,Jan,Good (≤15),2022-01
2022-02-01,PM 2.5,10.87,2022,2,Feb,Good (≤15),2022-02
2022-03-01,PM 2.5,12.2,2022,3,Mar,Good (≤15),2022-03
2022-04-01,PM 2.5,13.25,2022,4,Apr,Good (≤15),2022-04
2022-05-01,PM 2.5,13.29,2022,5,May,Good (≤15),2022-05
2022-06-01,PM 2.5,11.63,2022,6,Jun,Good (≤15),2022-06
2022-07-01,PM 2.5,14.86,2022,7,Jul,Good (≤15),2022-07
2022-08-01,PM 2.5,13.4,2022,8,Aug,Good (≤15),2022-08
2022-09-01,PM 2.5,12.42,2022,9,Sep,Good (≤15),2022-09
2022-10-01,PM 2.5,10.48,2022,10,Oct,Good (≤15),2022-10
2022-11-01,PM 2.5,10.38,2022,11,Nov,Good (≤15),2022-11
2022-12-01,PM 2.5,10.75,2022,12,Dec,Good (≤15),2022-12
